Gene,sample1,sample2,sampleN
APOL2,16,10,12
APOL3,0,0,0
APOL4,1,2,1
APOL5,0,0,0
APOL6,38,37,47
APOLD1,4,10,6
APOM,0,0,0
APOO,0,0,0
APOOL,2,3,2
APP,3,3,2
APPBP2,4,3,4
APPL1,20,21,18
APPL2,1,1,1
APRT,382,332,189
APTX,0,0,0
AQP1,7,40,182
AQP10,0,1,0
AQP11,1,0,1
AQP12A,0,0,0
AQP12B,0,0,0
AQP2,1,0,1
AQP3,104,52,120
AQP4,0,0,0
AQP5,313,329,97
AQP6,13,0,1
AQP7,0,0,0
AQP8,0,1,45
AQP9,0,7,0
AQR,10,12,6
AR,1,0,1
ARAF,17,21,21
ARAP1,3,6,3
ARAP2,0,0,0
ARAP3,0,0,0
ARC,5,1,3
ARCN1,23,22,16
AREG,1072,213,767
AREL1,1,1,1
ARF1,86,97,54
ARF3,16,20,12
ARF4,271,199,150
ARF5,5,3,3
ARF6,567,401,375
ARFGAP1,3,3,2
ARFGAP2,5,4,4
ARFGAP3,19,15,12
ARFGEF1,2,2,1
ARFGEF2,4,3,2
ARFGEF3,3,3,2
ARFIP1,1,1,1
ARFIP2,10,8,8
ARFRP1,1,1,1
ARG1,0,0,0
ARG2,2,6,2
ARGLU1,299,257,196
ARHGAP1,24,22,15
ARHGAP10,0,0,0
ARHGAP11A,0,1,0
ARHGAP12,2,1,1
ARHGAP15,0,0,0
ARHGAP17,1,0,0
ARHGAP18,18,23,10
ARHGAP19,0,1,0
ARHGAP19-SLIT1,0,0,0
ARHGAP20,0,0,0
ARHGAP21,0,0,0
ARHGAP22,0,0,0
ARHGAP23,0,0,0
ARHGAP24,0,0,0
ARHGAP25,0,0,0
ARHGAP26,0,0,0
ARHGAP27,0,0,0
ARHGAP28,0,0,0
ARHGAP29,1,1,1
ARHGAP30,9,11,5
ARHGAP31,1,1,0
ARHGAP32,0,0,0
ARHGAP33,0,1,1
ARHGAP35,1,3,2
ARHGAP36,0,0,0
ARHGAP39,0,0,0
ARHGAP4,8,14,4
ARHGAP40,0,1,0
ARHGAP42,0,0,0
ARHGAP44,0,0,0
ARHGAP45,3,6,2
ARHGAP5,5,6,4
ARHGAP6,0,0,0
ARHGAP8,1,0,0
ARHGAP9,2,3,1
ARHGDIA,84,72,52
ARHGDIB,28,54,10
ARHGDIG,2,0,30
ARHGEF1,2,3,1
ARHGEF10,0,0,0
ARHGEF10L,0,0,0
ARHGEF11,0,0,0
ARHGEF12,1,1,1
ARHGEF15,0,1,0
ARHGEF16,15,7,9
ARHGEF17,5,6,5
ARHGEF18,0,0,0
ARHGEF19,3,1,2
ARHGEF2,3,4,2
ARHGEF25,8,46,6
ARHGEF26,0,0,0
ARHGEF28,1,1,1
ARHGEF3,0,0,0
ARHGEF33,0,0,0
ARHGEF35,0,0,0
ARHGEF37,0,1,1
ARHGEF38,0,0,0
ARHGEF39,6,20,2
ARHGEF4,0,0,0
ARHGEF40,12,15,17
ARHGEF5,7,3,6
ARHGEF6,0,0,0
ARHGEF7,0,0,0
ARHGEF9,0,0,0
ARID1A,9,10,10
ARID1B,0,0,0
ARID2,1,2,1
ARID3A,2,3,2
ARID3B,2,2,1
ARID3C,1,0,0
ARID4A,2,4,3
ARID4B,2,3,2
ARID5A,3,3,2
ARID5B,6,9,5
ARIH1,10,13,8
ARIH2,0,1,0
ARIH2OS,0,0,1
ARL1,55,61,36
ARL10,0,1,1
ARL11,6,13,2
ARL13A,0,0,0
ARL13B,0,0,0
ARL14,14461,4888,3938
ARL14EP,20,14,13
ARL14EPL,0,0,0
ARL15,0,0,0
ARL16,16,13,13
ARL17A,0,0,0
ARL17B,0,0,0
ARL2,30,37,27
ARL2BP,56,64,27
ARL3,5,9,6
ARL4A,20,13,11
ARL4C,436,364,186
ARL4D,12,13,9
ARL5A,6,9,5
ARL5B,15,13,9
ARL5C,0,0,0
ARL6,0,0,0
ARL6IP1,270,160,139
ARL6IP5,104,160,87
ARL6IP6,1,0,0
ARL8A,44,60,30
ARL8B,25,20,20
ARL9,1,0,0
ARMC1,3,4,4
ARMC10,2,1,1
ARMC12,0,0,0
ARMC2,0,0,0
ARMC3,0,0,0
ARMC5,2,4,3
ARMC6,1,1,1
ARMC7,4,4,5
ARMC8,0,0,0
ARMC9,0,0,0
ARMCX1,48,39,48
ARMCX2,2,3,2
ARMCX3,156,121,105
ARMCX4,0,1,1
ARMCX5,6,4,5
ARMCX6,3,0,1
ARMH1,0,0,0
ARMH2,0,0,8
ARMH3,0,0,0
ARMH4,0,0,0
ARMS2,0,0,2
ARMT1,14,9,8
ARNT,0,0,0
ARNT2,1,1,1
ARNTL,0,0,0
ARNTL2,0,0,0
ARPC1A,13,8,7
ARPC1B,110,158,44
ARPC2,58,64,30
ARPC3,78,131,46
ARPC4,15,25,8
ARPC5,24,45,16
ARPC5L,31,20,20
ARPIN,19,22,16
ARPP19,13,8,7
ARPP21,0,0,0
ARR3,0,0,0
ARRB1,0,1,0
ARRB2,4,9,2
ARRDC1,31,21,16
ARRDC2,33,55,14
ARRDC3,19,15,12
ARRDC4,35,49,27
ARRDC5,0,0,0
ARSA,21,17,15
ARSB,0,1,0
ARSD,19,7,19
ARSF,0,0,0
ARSG,0,0,0
ARSH,0,0,0
ARSI,3,0,0
ARSJ,0,0,0
ARSK,2,2,1
ART1,0,0,0
ART3,0,0,0
ART4,0,13,5
ART5,2,0,1
ARTN,0,0,1
ARV1,2,2,3
ARVCF,0,0,0
ARX,1,13,18
